BAIRRO,TIPOESC,num_alunos
JARDIM CENTENÁRIO,CR.P.CONV,3895
JARDIM SILVEIRA,EMEF      ,3894
CIDADE KEMEL,EMEF        ,3892
JARDIM HELENA,CEU EMEF    ,3888
SOCORRO,EMEF      ,3885
JARDIM BRASIL,EMEF        ,3870
JARDIM LUSO,CEI DIRET,3870
JARDIM SANTA LUCRECIA,CEU EMEF    ,3867
CHÃCARA SANTA MARIA,CEU EMEF    ,3866
VILA JAGUARA,CR.P.CONV,3863
JARDIM PLANALTO,EMEI,3860
VILA LAGEADO,EMEF        ,3858
CONJUNTO HABITACIONAL SITIO CONCEICAO,EMEF        ,3854
CONJUNTO HABITACIONAL SITIO CONCEIÇÃO,CR.P.CONV,3853
JARDIM DAMASCENO,MOVA,3851
JAGUARE,CEU CEI,3850
JARDIM JULIETA,CEI DIRET,3850
JARDIM REIMBERG,CEI DIRET,3850
PARQUE GUARANI,CEI INDIR,3850
VALO VELHO,CR.P.CONV,3850
VILA FRANCA,CR.P.CONV,3850
VILA PARQUE JABAQUARA,CEI INDIR,3850
VILA RÉ,CEI DIRET,3850
VILA SÔNIA,CR.P.CONV,3850
VILA DIVA (ZONA LESTE),EMEF      ,3849
JARDIM NAIR,CEI INDIR,3840
JARDIM VISTA ALEGRE,CEI DIRET,3840
JARDIM MODELO,EMEF      ,3831
CIDADE SATÉLITE SANTA BÁRBARA,CEI DIRET,3830
JARDIM BOM REFUGIO,EMEF        ,3829
CONJUNTO HABITACIONAL PADRE MANOEL DA NÓ,CEI DIRET,3820
CONJUNTO PROMORAR VILA MARIA III,CEI INDIR,3820
JARDIM LOURDES,CEI INDIR,3820
PARQUE COCAIA,CEI DIRET,3820
VILA MARIANA,EMEI      ,3816
PARQUE DE TAIPAS,EMEF        ,3814
ACLIMACAO,EMEBS     ,3813
VILA MARIA ALTA,EMEF        ,3811
VILA PERUS,CEI DIRET,3810
JARDIM PIRATININGA,MOVA,3808
JARDIM ELEDY,CEU CEI,3800
PARAÍSO DO MORUMBI,CEMEI,3798
JARDIM CAMARGO NOVO,CR.P.CONV ,3794
JARDIM CASA GRANDE,CEI INDIR,3790
JARDIM DO CAMPO,CR.P.CONV,3790
JARDIM MODELO,CEI INDIR,3790
JARDIM SAO RAFAEL,CEI INDIR,3790
PINHEIROS,EMEI,3790
RAPOSO TAVARES,EMEF        ,3787
VILA PEREIRA BARRETO,CR.P.CONV,3784
CONJUNTO PROMORAR RIO CLARO,CEU EMEF    ,3783
CONJUNTO HABITACIONAL JARDIM SÃƒO BENTO,EMEF        ,3782
CIDADE NOVA SAO MIGUEL,CEI INDIR,3780
PARQUE EDU CHAVES,CEI DIRET,3780
VILA NOVA MANCHESTER,CR.P.CONV ,3780
JARDIM MATARAZZO,CR.P.CONV,3779
JARDIM HELENA,CEU CEI,3776
VILA SANTA LÚCIA,CEMEI,3775
PARADA XV DE NOVEMBRO,CR.P.CONV ,3771
JARDIM MONTE AZUL,CEI INDIR,3770
VILA LAÍS,CR.P.CONV,3769
VILA BRASILINA,EMEF        ,3768
JARDIM CÉLIA,CEU CEI,3762
JARDIM SAO JOSE,EMEF        ,3761
SANTO AMARO,CR.P.CONV,3761
ALTO DA LAPA,CEI INDIR,3760
JARDIM ANGELA ZONA LESTE,CEI INDIR,3755
VILA AURORA,CR.P.CONV,3752
JARDIM SANTA LUCRECIA,CR.P.CONV,3750
VILA CARDOSO FRANCO,CEI DIRET,3750
VILA PRINCESA ISABEL,CEI INDIR ,3747
JARDIM SIPRAMAR,EMEF        ,3741
VILA ZELINA,EMEF      ,3741
JARDIM ARPOADOR,CEI INDIR,3740
JARDIM NOVE DE JULHO,EMEF        ,3737
JARDIM SÃO JOSÉ,MOVA,3735
CAMBUCI,CEI DIRET,3730
IMIRIM,CEI DIRET,3730
PARQUE DAS CEREJEIRAS,CR.P.CONV,3729
VILA NOVA MAZZEI,CR.P.CONV,3727
CONJUNTO HABITACIONAL SANTA ETELVINA II,EMEF        ,3724
JARDIM MIRANTE,CR.P.CONV,3724
VILA MARA,EMEF        ,3724
ITAIM PAULISTA,CEU EMEF    ,3722
PARQUE DO MORUMBI,EMEF,3718
VILA INGLESA,EMEI,3717
PARQUE SÃO MIGUEL,CR.P.CONV,3715
VILA PENTEADO,EMEI,3712
PARAISOPOLIS,CR.P.CONV,3711
CAMBUCI,CEI INDIR,3710
CONJUNTO HABITACIONAL PADRE JOSÉ DE ANCH,EMEI,3710
JD SAO SAVERIO,CEI INDIR,3710
VILA PEDRA BRANCA,CEI DIRET,3710
PARQUE PAULISTANO,CR.P.CONV   ,3703
JARDIM ORIENTAL,CEI DIRET,3700
JARDIM SANTA FE ZONA OESTE,EMEI,3700
JARDIM SANTA FÉ (ZONA OESTE),EMEI,3700
VILA BASILEIA,CEI DIRET,3700
JARDIM ADELFIORE,EMEI,3696
VILA PERUS,CR.P.CONV   ,3696
JARDIM MYRNA,CEI DIRET,3690
PACAEMBU,CR.P.CONV,3690
VILA SABRINA,EMEI      ,3690
VILA CLEMENTINO,EMEI,3688
JD ROBRU,CEI DIRET,3680
PARQUE TIETE,CEI INDIR,3680
VILA CARMOSINA,CEI INDIR,3680
VILA RUBI,CEU CEI,3680
VILA SANTA TERESA ZONA LESTE,CR.P.CONV,3680
JARDIM SANTA TEREZINHA ZONA LESTE,CEU EMEI,3675
JARDIM SAO JOAO ZONA NORTE,EMEI,3675
JARDIM SÃO JOÃO (ZONA NORTE),EMEI,3675
JARDIM ESTER YOLANDA,CR.P.CONV,3672
JARDIM BOM REFÚGIO,CR.P.CONV,3670
JARDIM CASA GRANDE,EMEI,3670
VILA GUARANI,CEI INDIR,3670
JARDIM SÃO JORGE,CR.P.CONV,3663
CHÁCARA SANTA MARIA,CEU CEI,3660
JARDIM RINCAO,CEI INDIR,3660
SANTO AMARO,CEI INDIR,3660
JARDIM SÃO PEDRO (ZONA SUL),CEU AT COM,3658
JARDIM CLIMAX,EMEF        ,3655
AMERICANÓPOLIS,CEI DIRET,3650
JARDIM OLYMPIA,CEI INDIR,3650
JARDIM VIVAN,CEI DIRET,3650
SÃƒO MIGUEL PAULISTA,CMCT        ,3644
CHACARA SANTO ANTONIO,EMEBS     ,3642
CHACARA SAO JOAO,CEI INDIR,3640
JARDIM EDI,CEI DIRET,3640
VILA INDEPENDÊNCIA,CEI INDIR,3640
PARQUE SANTO ANTÔNIO,CEU CEI,3636
JARDIM MORENO,CR.P.CONV,3631
PARQUE SAO DOMINGOS,CEI INDIR,3630
SÍTIO DO MORRO,CR.P.CONV,3630
VILA LIBANESA,EMEF      ,3630
JARDIM ROSELI,CIEJA,3629
PARQUE BOA ESPERANCA,CIEJA       ,3629
JARDIM AMPLIACAO,CR.P.CONV,3625
VILA INÁCIO,CR.P.CONV,3622
CASA VERDE,CR.P.CONV,3620
JARDIM GONZAGA,CEI DIRET,3620
JARDIM JOÃƒO XXIII,EMEF        ,3620
PERDIZES,EMEI,3620
ACLIMACAO,CR.P.CONV,3612
JARDIM MARQUESA,CR.P.CONV,3612
JARDIM BRITANIA,CEI DIRET,3610
JARDIM MARILIA,CEI DIRET,3610
PARQUE BOLOGNE,CEU CEI,3610
PARQUE CÃSPER,CEU EMEF    ,3610
JARDIM DOS FRANCOS,EMEI,3605
PARQUE ARTUR ALVIM,CR.P.CONV,3601
JACANA,EMEI,3600
JAÇANÃ,EMEI,3600
BOSQUE DA SAÚDE,CR.P.CONV,3598
CIDADE KEMEL,CR.P.CONV   ,3598
LIBERDADE,EMEF        ,3596
JARDIM ALMEIDA PRADO,CR.P.CONV,3594
JARDIM SUL SÃO PAULO,CR.P.CONV,3591
JARDIM ELIANE,CEI INDIR,3590
JARDIM SAO MARTINHO,CEI INDIR,3590
PARQUE CASA DE PEDRA,CEI DIRET,3590
SANTO AMARO,EMEFM       ,3587
CIDADE KEMEL,CR.P.CONV ,3586
PARQUE ALVES DE LIMA,CR.P.CONV,3586
JARDIM IMPERADOR,CEI INDIR,3580
JARDIM ITAPURA,CEI INDIR,3580
JARDIM PRIMAVERA,CEI DIRET,3580
BELENZINHO,EMEI      ,3576
JARDIM DA PEDREIRA,CEI INDIR,3570
JARDIM MIRIAM,CEI INDIR,3570
JARDIM VERA CRUZZONA LESTE,CR.P.CONV,3570
JARDIM SÃO PAULO(ZONA LESTE),EMEI      ,3567
CIDADE TIRADENTES,CEU EMEI  ,3564
VILA DAS BELEZAS,CR.P.CONV,3563
COHAB INSTITUTO ADVENTISTA,EMEI      ,3561
BARRO BRANCO (ZONA NORTE),EMEI,3560
BARRO BRANCO ZONA NORTE,EMEI,3560
CONJ HABIT VILA NOVA CACHOEIRINHA,CEI DIRET,3560
LAJEADO,CEU CEI,3560
PARQUE TAIPAS,CEI DIRET,3560
VILA NOVA GALVAO,CEI INDIR,3560
VILA PROGRESSO,CR.P.CONV,3560
JARDIM PEDRA BRANCA,EMEI,3556
JARDIM KAGOHARA,CEI DIRET,3550
PARI,CEI INDIR,3550
VILA SANTA INES,CEI DIRET,3550
PARQUE FERNANDA,CEI DIRET,3540
VILA MOREIRA,CEU CEI,3540
JARDIM DAS FLORES,EMEF        ,3535
VILA DO ENCONTRO,CEU CEI,3535
CIDADE KEMEL,EMEI      ,3531
JARDIM CAMARGO,CEI INDIR,3530
JARDIM ELZA,CEI DIRET,3530
JARDIM MODELO,CEU CEI,3530
JARDIM SANTA FE,CEI INDIR,3530
VILA NOVA CURUCA,CEI DIRET,3530
VILA SANTA TERESINHA,CEI DIRET,3530
VILA REGENTE FEIJÓ,CR.P.CONV,3528
PARQUE PANAMERICANO,EMEF        ,3527
VILA BELA,EMEF        ,3526
PARQUE COCAIA,EMEI      ,3525
PIRAJUSSARA,CEU EMEF    ,3525
CHÁCARA SANTA ETELVINA,EMEI,3521
INTERLAGOS,CEU CEI,3521
PIRAJUSSARA,CEI INDIR,3520
SANTA CECÍLIA,CEI INDIR,3520
JARDIM NOSSA SENHORA DO CARMO,EMEI      ,3519
BROOKLIN NOVO,CR.P.CONV,3510
JARDIM ARPOADOR,CEI DIRET,3510
JARDIM LISBOA,CEI DIRET,3510
VILA MARIA BAIXA,CEI DIRET,3510
COHAB JARDIM PAULISTANO,EMEF        ,3508
EMBURA,CR.P.CONV,3507
JARDIM CELESTE,EMEF        ,3505
CONJUNTO HABITACIONAL TEOTONIO VILELA,MOVA,3504
VILA PALMEIRAS,EMEI      ,3501
CANINDE,CEI INDIR,3500
PARQUE DAS PAINEIRAS,CEI DIRET,3500
VILA ZAT,CEI INDIR,3500
JARDIM EDI,EMEF        ,3497
JARDIM CONSORCIO,EMEF      ,3494
PARQUE LIGIA,EMEF        ,3492
JARDIM DAMASCENO,CEI INDIR,3490
MORADA DO SOL,CEI INDIR,3490
VILA BELA VISTA,CEI INDIR,3490
VILA HELIÓPOLIS,MOVA,3490
CHACARA SANTA MARIA,EMEF        ,3489
JARDIM IRACEMA,MOVA,3486
JARDIM REPUBLICA,CR.P.CONV,3480
JARDIM SANTA MARIA,CEI DIRET,3480
VILA NINA,CEI INDIR,3480
CAPÃO REDONDO,CR.P.CONV,3477
JARDIM GUARUJÁ,EMEF      ,3477
JARDIM GUARUJÃ,EMEF        ,3477
CHÁCARA SÃO SILVESTRE,CEI INDIR,3470
VILA MIRIAM,CEI INDIR,3470
JARDIM CASABLANCA,CEMEI,3468
COLONIA ZONA SUL,EMEI,3465
JARDIM BOTUCATU,CR.P.CONV,3460
PARQUE TOMAS SARAIVA,CEI DIRET,3460
SE,CR.P.CONV,3460
VILA LAGEADO,CR.P.CONV ,3453
JAGUARE,CEI INDIR,3450
JARDIM LAPENA,CEI INDIR ,3450
PARQUE DOS BANCARIOS,EMEF        ,3450
JARDIM SANTA MARGARIDA,EMEF        ,3449
RECANTO CAMPO BELO,CR.P.CONV,3448
COHAB INSTITUTO ADVENTISTA,EMEF        ,3446
BOM RETIRO,CEI DIRET,3440
GUAPIRA,CEI DIRET,3440
JARDIM MARIA ESTELA,CEI INDIR,3440
JARDIM MONJOLO,CEI DIRET,3440
JARDIM PIRITUBA,CEI INDIR,3440
PARQUE MARIA DOMITILA,CEI INDIR,3440
CONJUNTO HABITACIONAL CASTRO ALVES,CR.P.CONV ,3438
JARDIM ARTUR ALVIM,CEI INDIR,3437
IPIRANGA,CEU EMEF  ,3433
IPIRANGA,CEU EMEF    ,3433
JARDIM CASABLANCA,EMEF        ,3433
VILA FORMOSA,EMEI      ,3432
BARRO BRANCO,CEI DIRET,3430
JARDIM NOVE DE JULHO,CEI DIRET,3430
VILA DIONISIA,CEI DIRET,3430
JARDIM GUARANI,MOVA,3426
JARDIM TRES CORACOES,EMEF        ,3424
VILA INVERNADA,EMEF      ,3423
JARDIM CAPELA,CEI DIRET,3420
VILA CHUCA,CEI DIRET,3420
VILA DOS REMEDIOS,CR.P.CONV,3420
JARDIM IPANEMA ZONA OESTE,CR.P.CONV,3415
JARDIM DAS VERTENTES,CEI DIRET,3410
JARDIM MARIANE,CEI DIRET,3410
JARDIM MIRIAM,CEI DIRET,3410
JARDIM NOVO PARELHEIROS,CEI DIRET,3410
JARDIM SANTO ELIAS,EMEI,3410
VILA CENTENÁRIO,CEI DIRET,3410
VILA SEABRA,CEI INDIR,3410
JARDIM MARINGÁ,CEI INDIR,3400
JARDIM MIRAGAIA,EMEI,3400
JARDIM SOMARA,CEI DIRET,3400
VILA ISOLINA MAZZEI,CEI INDIR,3400
VILA REMO,CEI INDIR,3400
JARDIM ÂNGELA (ZONA LESTE),CEI INDIR,3393
CAXINGUI,CR.P.CONV,3390
CONJUNTO HABITACIONAL SANTA ETELVINA III,CEI DIRET,3390
JARDIM MARIA ESTELA,CR.P.CONV,3390
PINHEIROS,CR.P.CONV,3390
VILA CLARICE,CEI DIRET,3390
PARQUE CRUZEIRO DO SUL,EMEI      ,3387
JARDIM SOARES,CEI INDIR,3380
PARQUE GRAJAU,CEI DIRET,3380
ENGENHEIRO MARSILAC,CR.P.CONV,3375
JARDIM MARIA SAMPAIO,EMEF        ,3375
JARDIM MITSUTANI,CEI INDIR,3374
TREMEMBÉ,CR.P.CONV,3374
JARDIM MAIA,EMEF        ,3371
VILA MARIETA,CEI DIRET,3370
JARDIM ADUTORA,CR.P.CONV,3360
SÍTIO CARAGUATA,CEI DIRET,3360
VILA SANTA CRUZ (ZONA LESTE),CR.P.CONV,3360
VILA SANTA CRUZ ZONA LESTE,CR.P.CONV,3360
LAUZANE PAULISTA,EMEI      ,3357
JARDIM MODELO,CEU EMEF    ,3356
JARDIM BELCITO,CEU EMEF    ,3353
JARDIM ELIANA,CEU EMEF,3353
CUPECÊ,CEI DIRET,3350
JD SILVEIRA,CEI DIRET,3350
PARQUE RESIDENCIAL COCAIA,CEI INDIR,3350
VILA ELZE,EMEF        ,3348
PARQUE DOROTEIA,EMEF        ,3345
JARDIM PEDRO JOSE NUNES,CEI INDIR,3340
PARQUE CÍSPER,CEI DIRET,3340
PARQUE SANTA RITA,CEI DIRET,3340
VILA SANTA CATARINA,CEI DIRET,3340
JARDIM PERI,MOVA      ,3339
MANDAQUI,CR.P.CONV,3339
VILA GUILHERME,EMEF        ,3337
CONJUNTO HABITACIONAL RECANTO DOS HUMILD,EMEI      ,3333
CHÁCARA CRUZEIRO DO SUL,CR.P.CONV,3332
CIDADE SATELITE SANTA BARBARA,EMEF        ,3331
JARDIM BELCITO,CEU CEI,3330
JARDIM DA CONQUISTA,CEI INDIR,3330
JARDIM MARIA VIRGINIA,CEI INDIR,3330
JARDIM NAZARETH,CEI DIRET,3330
VILA DO ENCONTRO,CEI DIRET,3330
LUZ,CR.P.CONV,3328
JARDIM SÃO SAVÉRIO,CR.P.CONV,3325
JARDIM POPULAR,CR.P.CONV,3322
BURGO PAULISTA,CEI DIRET,3320
JARDIM JOAMAR,CR.P.CONV,3320
VILA PAULISTANA,CEI DIRET,3320
JARDIM SANTA FE ZONA OESTE,CR.P.CONV,3315
VILA PREL,CR.P.CONV,3315
JARAGUÃ,CEU EMEF    ,3311
CONJUNTO PROMORAR ESTRADA DA PARADA,CEI INDIR,3310
PARQUE DOROTEIA,CEI INDIR,3310
VILA FAZZEONI,CEI DIRET,3310
PARQUE VILA MARIA,EMEF        ,3309
JARDIM PAULISTANO ZONA NORTE,CR.P.CONV   ,3306
JABAQUARA,CEU EMEI,3304
JARDIM ESTRELA DALVA,CEI INDIR,3304
JARDIM NÉLIA,CEI INDIR,3304
JARDIM SELMA,MOVA,3304
PARQUE GUARANI,EMEF        ,3304
CHÃCARA DONA OLÃVIA,CEU EMEF    ,3301
JARDIM PERI,CEI INDIR,3300
JARDIM THOMAZ,CR.P.CONV,3300
PIQUERI,CEI INDIR,3300
VILA AGUA FUNDA,CEI DIRET,3300
VILA GUIOMAR,MOVA,3293
JARDIM RODOLFO PIRANI,CEI DIRET,3290
VILA MIRANTE,CEI DIRET,3290
VILA POMPÉIA,CR.P.CONV,3290
VILA MARIANA,ESP CONV,3289
CHÁCARA NANI,CEI INDIR,3280
JARDIM SAO BENEDITO,CEI DIRET,3280
JARDIM VERGUEIRO,CEI INDIR,3280
VILA AURORA,EMEFM       ,3280
JARDIM FLORESTA,CR.P.CONV,3278
LUZ,MOVA,3276
VILA INDEPENDÃŠNCIA,EMEF        ,3274
JARDIM RODOLFO PIRANI,EMEI      ,3273
BELA VISTA,EMEF        ,3272
CONJUNTO HABITACIONAL TEOTONIO VILELA,CEI DIRET,3270
CONJUNTO PROMORAR ESTRADA DA PARADA,MOVA,3270
JARDIM DAS LARANJEIRAS,CEI INDIR,3270
JARDIM GUAIRACA,CEI DIRET,3270
VILA VERDE,CEI INDIR,3270
BRASILÂNDIA,CR.P.CONV ,3266
TUCURUVI,CR.P.CONV ,3264
ALTOS DE VILA PRUDENTE,CEI DIRET,3260
HIGIENOPOLIS,MOVA,3260
JARDIM ADUTORA,CEI DIRET,3260
JARDIM PARQUE MORUMBI,CEU CEI,3260
VILA BAUAB,CEI DIRET,3260
VILA ESTER,CEI DIRET,3260
JARDIM CAMARGO,EMEF        ,3251
JARDIM CIDADE PIRITUBA,CEI DIRET,3250
JARDIM NOVO HORIZONTE,CEI INDIR,3250
PARQUE FONGARO,CEI DIRET,3250
VILA GOMES CARDIM,CEI DIRET,3250
VILA SEABRA,CEI DIRET,3250
JARDIM SÃƒO VICENTE,EMEF        ,3245
VILA TERESINHA,EMEF        ,3243
JARDIM NOEMIA,CR.P.CONV,3241
JARDIM ANGELINA,CEI DIRET,3240
JARDIM PEDRO JOSÉ NUNES,CEI INDIR,3240
JARDIM SÃO JORGE,CEI DIRET,3240
JARDIM ANGELA ZONA SUL,EMEF        ,3237
PARQUE MANDAQUI,CIEJA       ,3236
VILA SAO FRANCISCO ZONA LESTE,EMEI,3235
VILA SÃO FRANCISCO (ZONA LESTE),EMEI,3235
CHÁCARA SANTO HUBERTUS,EMEI,3234
VILA POLOPOLI,MOVA,3234
CONJUNTO HABITACIONAL PADRE JOSÉ DE ANCH,CEI INDIR,3230
JARDIM DAS OLIVEIRAS,CEI DIRET,3230
JARDIM DAS OLIVEIRAS,CEI INDIR,3230
VILA CALIFORNIA,CEI INDIR,3230
VILA LIBANESA,CR.P.CONV,3230
CIDADE TIRADENTES,CR.P.CONV   ,3227
VILA DIONÃSIA,EMEF        ,3227
JARDIM BONFIGLIOLI,CR.P.CONV,3224
VILA ANTONIETA,MOVA,3222
CHACARA TATUAPE,EMEI,3220
JARDIM CAMPOS,CEI DIRET,3220
JARDIM PRUDENCIA,CR.P.CONV,3220
JARDIM SAO CARLOS,CEI INDIR,3220
PARQUE SONIA,CEI DIRET,3220
CAMBUCI,EMEI      ,3213
CHACARA CRUZEIRO DO SUL,CEI DIRET,3210
JARDIM ADELFIORE,CEI DIRET,3210
JARDIM COLONIAL,CEI DIRET,3210
JARDIM COMERCIAL,CEI INDIR,3210
JARDIM DOS FRANCOS,EMEF        ,3209
FAZENDA DA JUTA,EMEI      ,3207
JARDIM CLARICE,MOVA,3206
PARQUE SAO RAFAEL,EMEF        ,3204
JARDIM NOVO SANTO AMARO,CR.P.CONV ,3201
VILA ITAIM,CR.P.CONV ,3201
CIDADE MONCOES,EMEI,3200
JARDIM FIGUEIRA GRANDE,CEI DIRET,3200
JARDIM SAO PAULO,CEI DIRET,3200
CIDADE ANTÃ”NIO ESTEVÃƒO DE CARVALHO,CEU EMEF    ,3196
JARDIM AMÁLIA,MOVA,3194
MOOCA,EMEF        ,3194
PARQUE DAS FLORES,EMEF        ,3193
CONJUNTO CITY JARAGUÁ,CEI DIRET,3190
JARDIM PEDRO JOSE NUNES,CEI DIRET,3190
JARDIM SAO PEDRO,CEI DIRET,3190
SAO MIGUEL PAULISTA,CEI DIRET,3190
VILA SANTO ESTÉFANO,CEI INDIR,3190
JARDIM MAIA,CR.P.CONV,3185
VILA GUIOMAR,CR.P.CONV,3185
CONJ HABIT BRIGADEIRO FARIA LIMA,CEI DIRET,3180
JARDIM ALMEIDA PRADO,CEI INDIR,3180
JARDIM MATARAZZO,CEI DIRET,3180
JARDIM SANTA MARGARIDA,CEI DIRET,3180
VILA BARBOSA,EMEF        ,3180
JARDIM AURORA (ZONA LESTE),CR.P.CONV,3178
CHÁCARA DA ENSEADA,MOVA,3174
JARDIM PAPAI NOEL,EMEF      ,3174
SÃO JOÃO CLÍMACO,CEI INDIR ,3174
JARDIM DONA SINHÁ,CR.P.CONV,3172
JARDIM CIDADE PIRITUBA,CEI INDIR,3170
JARDIM JULIETA,CEI INDIR,3170
JARDIM MARIA RITA,CEI DIRET,3170
SÃO MIGUEL PAULISTA,CR.P.CONV,3170
UMARIZAL,CEI DIRET,3170
VILA PARANAGUÁ,CEI DIRET,3170
VILA CUNHA BUENO,EMEI      ,3165
VILA ISABEL,EMEF        ,3164
VILA PIRAJUSSARA,CEI INDIR,3164
JARDIM DA CONQUISTA ZONA LESTE,MOVA,3160
RESIDENCIAL SOL NASCENTE,CEI INDIR,3160
SUMAREZINHO,CEI INDIR,3160
VILA ANASTACIO,CR.P.CONV,3160
VILA MORAES,MOVA,3160
CANGAÃBA,EMEF        ,3152
GLEBA DO PÊSSEGO,CEI INDIR,3150
JARDIM LAURA,EMEF        ,3150
JARDIM LUCÉLIA,EMEI,3150
JARDIM MONTE BELO,EMEF        ,3150
JARDIM NAKAMURA,CEI INDIR,3150
PARQUE COLONIAL,CEI DIRET,3150
RECANTO MARISA,CEI INDIR,3150
VILA BONILHA,EMEI,3150
JARDIM PEDRA BRANCA,CEI INDIR,3141
CIDADE A E CARVALHO,CEI DIRET,3140
CONJUNTO HABITACIONAL PADRE MANOEL DE PA,CEI DIRET,3140
PARQUE SAVOI CITY,CEI INDIR,3140
PARQUE SÃO RAFAEL,CEI DIRET,3140
PENHA DE FRANÇA,CR.P.CONV ,3136
JARDIM SANTA TEREZINHA (ZONA LESTE),CR.P.CONV ,3135
PARQUE NOVO SANTO AMARO,MOVA,3132
CONJUNTO PROMORAR RAPOSO TAVARES,EMEF        ,3130
JARDIM CAROMBE,CEI DIRET,3130
JARDIM VERÔNIA,CEI DIRET,3130
MIRANDOPOLIS,CR.P.CONV,3130
PQ BRISTOL,CEI DIRET,3130
IPIRANGA,CR.P.CONV   ,3128
CIDADE ANTÔNIO ESTEVÃO DE CARVALHO,MOVA,3127
JARDIM DA PEDREIRA,EMEF        ,3126
VILA CARRAO,CR.P.CONV,3124
AMERICANOPOLIS,MOVA,3120
JARDIM CAMPINAS,CEI DIRET,3120
PARQUE BOA ESPERANCA,CEI INDIR,3120
VILA MATILDE,EMEF        ,3115
CHÁCARA SANTANA,EMEF,3114
JARDIM ESTER,CEI DIRET,3110
JARDIM MELIUNAS,CEI DIRET,3110
JARDIM PAULISTANO,CR.P.CONV,3110
JARDIM SAO JOSE,CEI DIRET,3110
VILA INAH,CR.P.CONV,3107
PARQUE SANTO ANTONIO,EMEF        ,3106
VILA AMERICANA,EMEF        ,3106
BOM RETIRO,EMEI      ,3105
JARDIM COLOMBO,CR.P.CONV,3105
VILA MARCELO,CR.P.CONV,3101
CIDADE SAO MATEUS,MOVA,3100
CONJ RESID ELISIO TEIXEIRA LEITE,CEI DIRET,3100
JARDIM BARTIRA,CEI DIRET,3100
JARDIM CAPELA,CR.P.CONV,3100
JARDIM SILVA TELES,CEI DIRET,3100
LAPA DE BAIXO,EMEI,3100
MARANHÃO,EMEI,3100
QUINTA DA PAINEIRA,CR.P.CONV,3100
VILA CLEMENTINO,CEI INDIR,3100
VILA JUREMA,CEI DIRET,3100
RECANTO VERDE DO SOL,CR.P.CONV,3098
SANTANA,CR.P.CONV,3097
JARDIM GUAIANAZES,CR.P.CONV ,3096
JARDIM DAS FLORES,CR.P.CONV,3095
BELA VISTA,MOVA      ,3093
CUPECE,CEI INDIR,3090
JARDIM GUARUJÁ,CEI DIRET,3090
JARDIM RECORD,CEI DIRET,3090
PEDREIRA,CR.P.CONV,3090
VILA ANTONIO,EMEI,3090
VILA MISSIONARIA,CEI DIRET,3090
JARDIM CIDADE PIRITUBA,CR.P.CONV ,3089
JARDIM LIBANO,EMEBS,3087
JARDIM SAO CARLOS ZONA LESTE,CEU EMEI,3085
JARDIM SÃO CARLOS (ZONA LESTE),CEU EMEI,3085
VILA ALEXANDRIA,EMEF        ,3085
CIDADE SAO MATEUS,CEI INDIR ,3082
CIDADE LÍDER,CEI DIRET,3080
INTERLAGOS,CEI INDIR,3080
JARDIM SAPOPEMBA,CEI INDIR,3080
JARDIM VISTA LINDA,CEI INDIR,3080
LIMOEIRO,CEI DIRET,3080
CHACARA SANTO ANTONIO ZONA LESTE,CR.P.CONV,3075
CIDADE NOVA HELIÓPOLIS,CEI INDIR ,3075
JARDIM SAO PAULOZONA LESTE,CEI DIRET,3075
JARDIM SÃO PAULO(ZONA LESTE),CEI DIRET,3075
VILA DO ENCONTRO,CR.P.CONV,3075
JARDIM ANHANGÃœERA,EMEF        ,3074
JARDIM MANGALOT,EMEF        ,3074
CONJUNTO HABITACIONAL SITIO CONCEICAO,CEI INDIR,3070
VILA ANTÔNIO,CEI DIRET,3070
VILA SÃO FRANCISCO,CEI DIRET,3070
COHAB SANTA ETELVINA II,EMEI      ,3066
CONJUNTO PROMORAR SÃO LUIS,CEI DIRET ,3063
JARDIM GUAIANAZES,EMEF        ,3062
JARDIM ANA LUCIA,CEI DIRET,3060
JARDIM NOSSA SENHORA DO CARMO,CEI DIRET,3060
JARDIM SÔNIA REGINA,CEI DIRET,3060
JARDIM UMUARAMA,CEI INDIR,3060
JARDIM VILA CARRAO,CEI DIRET,3060
CONJUNTO HABITACIONAL INACIO MONTEIRO,EMEF        ,3056
VELEIROS,CR.P.CONV,3050
VILA REGINA,CR.P.CONV,3049
VILA CAROLINA,CR.P.CONV ,3048
JARDIM CLIPER,EMEF      ,3044
JARDIM RINCAO,CEI DIRET,3040
JARDIM SÃO JOAQUIM,CEI DIRET,3040
VILA AIMORE,CEI DIRET,3040
VILA ALBERTINA,CEI INDIR,3040
VILA ESPERANCA,CR.P.CONV,3040
VILA BRASILÂNDIA,CEI INDIR,3038
PARQUE DOROTEIA,CR.P.CONV,3036
JARDIM CORISCO,EMEF        ,3034
CIDADE LIDER,CEI DIRET,3030
JARDIM TIETE,CEI DIRET,3030
MOÓCA,CR.P.CONV,3030
PARQUE SANTO ANTÔNIO,CEI DIRET,3030
JARDIM BOTUCATU,CEI DIRET,3020
JARDIM DAS GRACAS,CR.P.CONV,3020
PARQUE DOM JOAO NERI,CEI INDIR,3020
PARQUE NOVO SANTO AMARO,CEI DIRET,3020
JARDIM DA LARANJEIRA ZONA LESTE,CEU EMEF    ,3017
PARQUE BOA ESPERANCA,EMEI,3015
PARQUE BOA ESPERANÇA,EMEI,3015
CIDADE NOVA HELIOPOLIS,EMEI,3010
